Time(s),Node,RSSI(dBm),TransmissionPower(dBm),PacketCount,BatteryLevel(%)
1,0,-107,20,0,99
1,1,-104,20,0,99
1,2,-93,20,0,99
1,3,-95,20,0,99
1,4,-97,20,0,99
1,5,-95,20,0,99
1,6,-104,20,0,99
1,7,-98,20,0,99
1,8,-101,20,0,99
1,9,-109,20,0,99
1,10,-108,20,0,99
1,11,-103,20,0,99
1,12,-100,20,0,99
1,13,-91,20,0,99
1,14,-107,20,0,99
1,15,-104,20,0,99
1,16,-110,20,0,99
1,17,-104,20,0,99
1,18,-98,20,0,99
1,19,-94,20,0,99
2,0,-99,20,0,98
2,1,-102,20,0,98
2,2,-103,20,0,98
2,3,-101,20,0,98
2,4,-108,20,0,98
2,5,-100,20,0,98
2,6,-108,20,0,98
2,7,-107,20,0,98
2,8,-103,20,0,98
2,9,-95,20,0,98
2,10,-101,20,0,98
2,11,-108,20,0,98
2,12,-108,20,0,98
2,13,-92,20,0,98
2,14,-101,20,0,98
2,15,-103,20,0,98
2,16,-97,20,0,98
2,17,-94,20,0,98
2,18,-99,20,0,98
2,19,-108,20,0,98
3,0,-101,20,0,97
3,1,-97,20,0,97
3,2,-109,20,0,97
3,3,-91,20,0,97
3,4,-106,20,0,97
3,5,-93,20,0,97
3,6,-92,20,0,97
3,7,-106,20,0,97
3,8,-95,20,0,97
3,9,-100,20,0,97
3,10,-97,20,0,97
3,11,-104,20,0,97
3,12,-99,20,0,97
3,13,-110,20,0,97
3,14,-94,20,0,97
3,15,-97,20,0,97
3,16,-108,20,0,97
3,17,-100,20,0,97
3,18,-94,20,0,97
3,19,-109,20,0,97
4,0,-105,20,0,96
4,1,-105,20,0,96
4,2,-106,20,0,96
4,3,-103,20,0,96
4,4,-94,20,0,96
4,5,-105,20,0,96
4,6,-104,20,0,96
4,7,-101,20,0,96
4,8,-97,20,0,96
4,9,-93,20,0,96
4,10,-106,20,0,96
4,11,-95,20,0,96
4,12,-108,20,0,96
4,13,-105,20,0,96
4,14,-96,20,0,96
4,15,-103,20,0,96
4,16,-96,20,0,96
4,17,-106,20,0,96
4,18,-107,20,0,96
4,19,-100,20,0,96
5,0,-103,20,0,95
5,1,-102,20,0,95
5,2,-94,20,0,95
5,3,-92,20,0,95
5,4,-102,20,0,95
5,5,-106,20,0,95
5,6,-107,20,0,95
5,7,-99,20,0,95
5,8,-96,20,0,95
5,9,-91,20,0,95
5,10,-98,20,0,95
5,11,-110,20,0,95
5,12,-94,20,0,95
5,13,-102,20,0,95
5,14,-91,20,0,95
5,15,-98,20,0,95
5,16,-104,20,0,95
5,17,-104,20,0,95
5,18,-96,20,0,95
5,19,-91,20,0,95
6,0,-95,20,0,94
6,1,-100,20,0,94
6,2,-96,20,0,94
6,3,-92,20,0,94
6,4,-103,20,0,94
6,5,-109,20,0,94
6,6,-93,20,0,94
6,7,-108,20,0,94
6,8,-93,20,0,94
6,9,-98,20,0,94
6,10,-98,20,0,94
6,11,-94,20,0,94
6,12,-109,20,0,94
6,13,-110,20,0,94
6,14,-104,20,0,94
6,15,-109,20,0,94
6,16,-105,20,0,94
6,17,-101,20,0,94
6,18,-106,20,0,94
6,19,-91,20,0,94
7,0,-110,20,0,93
7,1,-101,20,0,93
7,2,-99,20,0,93
7,3,-93,20,0,93
7,4,-93,20,0,93
7,5,-99,20,0,93
7,6,-109,20,0,93
7,7,-95,20,0,93
7,8,-101,20,0,93
7,9,-103,20,0,93
7,10,-103,20,0,93
7,11,-94,20,0,93
7,12,-93,20,0,93
7,13,-97,20,0,93
7,14,-104,20,0,93
7,15,-105,20,0,93
7,16,-104,20,0,93
7,17,-107,20,0,93
